date,days,rain,sun_hours,temp_max,temp_mean,temp_min,vapor_max,vapor_mean,vapor_min,wind_mean,rain_status
26/01/2018,26,0.2,5.4,30.8,26.7,24.2,13.3,29.6,28.0,0.8,Mưa không đáng kể
27/01/2018,27,0.1,8.0,31.5,27.4,24.5,13.9,30.2,29.3,0.3,Mưa không đáng kể
28/01/2018,28,0.1,6.4,31.3,27.2,24.9,13.9,30.5,29.9,0.8,Mưa không đáng kể
29/01/2018,29,9.7,0.4,27.6,25.6,24.4,5.8,30.1,28.8,0.3,Mưa vừa
30/01/2018,30,0.2,7.4,31.7,26.8,23.6,13.9,30.5,29.3,0.5,Mưa không đáng kể
31/01/2018,31,0.0,7.7,31.0,27.6,24.5,12.9,31.1,30.0,0.5,Không mưa
1/2/2018,32,0.1,6.7,30.9,27.1,24.6,11.5,29.8,28.3,0.3,Mưa không đáng kể
2/2/2018,33,0.1,5.2,29.0,25.9,23.4,8.8,28.8,27.7,0.3,Mưa không đáng kể
3/2/2018,34,0.0,8.3,30.4,25.9,23.3,13.4,27.2,26.0,0.5,Không mưa
4/2/2018,35,0.3,6.0,29.0,25.0,22.3,10.8,25.2,24.7,0.0,Mưa không đáng kể
5/2/2018,36,0.3,7.9,30.2,25.0,19.9,17.0,22.9,20.8,0.5,Mưa không đáng kể
6/2/2018,37,0.1,8.3,28.2,24.0,20.7,15.8,20.5,19.4,0.8,Mưa không đáng kể
7/2/2018,38,0.3,8.8,28.4,23.6,20.2,17.1,21.9,19.6,0.0,Mưa không đáng kể
8/2/2018,39,0.1,6.5,28.5,23.4,19.9,13.0,23.6,22.4,0.3,Mưa không đáng kể
9/2/2018,40,0.1,8.7,29.5,23.9,19.7,15.1,23.6,22.9,0.3,Mưa không đáng kể
10/2/2018,41,0.0,7.4,29.4,24.6,21.2,13.0,25.0,24.6,0.3,Không mưa
11/2/2018,42,0.2,7.1,30.2,25.7,22.2,14.7,27.0,26.0,0.5,Mưa không đáng kể
12/2/2018,43,0.2,8.9,32.0,26.5,22.8,23.2,24.8,21.2,0.8,Mưa không đáng kể
13/02/2018,44,0.0,9.6,30.5,25.5,21.1,17.2,23.5,21.5,0.3,Không mưa
14/02/2018,45,0.2,9.6,31.5,26.0,21.9,20.4,24.8,22.3,0.5,Mưa không đáng kể
15/02/2018,46,0.2,7.6,31.7,26.0,21.5,13.6,28.8,25.8,0.5,Mưa không đáng kể
16/02/2018,47,0.3,7.1,31.5,26.7,23.1,14.8,29.6,28.5,0.3,Mưa không đáng kể
17/02/2018,48,0.3,5.9,31.7,26.5,23.8,12.0,29.7,29.3,0.0,Mưa không đáng kể
18/02/2018,49,0.0,8.5,32.5,26.2,23.1,14.1,29.2,27.7,0.5,Không mưa
19/02/2018,50,0.1,6.6,32.0,27.1,24.4,15.1,28.4,27.0,1.5,Mưa không đáng kể
20/02/2018,51,0.2,9.3,32.0,26.6,22.9,19.2,27.8,24.7,0.5,Mưa không đáng kể
21/02/2018,52,0.2,8.0,31.4,26.1,22.7,13.9,28.6,27.8,0.5,Mưa không đáng kể
22/02/2018,53,0.2,9.0,32.4,26.7,23.4,17.7,28.9,28.0,0.5,Mưa không đáng kể
23/02/2018,54,0.1,8.7,32.6,27.3,24.2,19.3,27.9,25.9,0.8,Mưa không đáng kể
24/02/2018,55,0.2,10.1,33.3,27.4,23.2,16.8,28.3,27.4,0.3,Mưa không đáng kể
25/02/2018,56,0.2,8.7,31.5,26.3,22.9,13.7,26.9,26.3,0.3,Mưa không đáng kể
26/02/2018,57,0.1,9.2,31.3,26.0,22.5,12.9,28.0,26.6,0.8,Mưa không đáng kể
27/02/2018,58,0.1,9.7,32.7,26.9,23.0,15.1,28.9,27.6,1.0,Mưa không đáng kể
28/02/2018,59,0.0,9.1,32.9,27.8,24.2,18.7,29.6,26.4,0.3,Không mưa
1/3/2018,60,0.2,4.6,32.4,27.3,24.6,11.9,30.8,29.7,0.3,Mưa không đáng kể
2/3/2018,61,0.1,8.2,33.2,27.6,24.3,13.4,30.7,30.0,0.5,Mưa không đáng kể
3/3/2018,62,0.1,2.3,31.5,27.5,25.3,11.9,31.7,30.8,0.8,Mưa không đáng kể
4/3/2018,63,0.3,9.8,33.7,27.9,23.9,21.6,29.4,25.9,0.3,Mưa không đáng kể
5/3/2018,64,0.0,8.0,33.2,28.1,24.9,15.7,30.5,29.4,0.5,Không mưa
6/3/2018,65,0.2,9.6,33.9,28.3,24.4,17.9,30.1,28.8,0.3,Mưa không đáng kể
7/3/2018,66,0.3,8.7,33.4,28.0,24.4,20.5,29.3,27.0,0.5,Mưa không đáng kể
8/3/2018,67,0.2,9.9,34.0,28.4,24.1,25.2,28.5,26.8,0.8,Mưa không đáng kể
9/3/2018,68,0.1,6.2,31.7,27.3,24.1,13.4,30.1,29.4,0.3,Mưa không đáng kể
10/3/2018,69,0.2,9.9,32.2,27.6,23.3,20.1,27.1,25.1,0.5,Mưa không đáng kể
11/3/2018,70,0.2,7.5,32.0,27.6,24.4,20.5,27.6,25.2,0.8,Mưa không đáng kể
12/3/2018,71,0.2,8.1,32.8,27.5,23.6,20.4,27.8,26.6,0.3,Mưa không đáng kể
13/03/2018,72,0.2,8.6,33.2,27.5,24.1,18.3,29.0,27.8,0.5,Mưa không đáng kể
14/03/2018,73,0.3,9.6,32.6,27.5,23.7,18.2,29.4,27.9,0.0,Mưa không đáng kể
15/03/2018,74,0.2,9.9,34.0,27.9,23.6,21.2,29.2,27.7,0.5,Mưa không đáng kể
16/03/2018,75,0.0,8.4,33.7,28.9,25.9,19.9,31.5,29.5,0.3,Không mưa
17/03/2018,76,0.2,9.2,34.0,28.5,24.8,22.3,29.8,28.6,1.0,Mưa không đáng kể
18/03/2018,77,0.1,9.3,34.1,28.6,24.4,27.6,28.0,23.5,0.8,Mưa không đáng kể
19/03/2018,78,0.0,9.1,33.7,28.3,24.4,22.9,28.5,27.1,0.5,Không mưa
20/03/2018,79,0.3,9.6,34.3,28.5,24.8,23.9,29.3,26.7,0.5,Mưa không đáng kể
21/03/2018,80,0.2,9.4,34.5,28.8,25.4,25.4,29.0,25.5,0.3,Mưa không đáng kể
22/03/2018,81,0.1,4.4,33.4,27.5,24.5,17.3,29.2,28.6,0.5,Mưa không đáng kể
23/03/2018,82,0.2,7.1,32.5,28.1,25.0,21.6,28.2,25.9,0.5,Mưa không đáng kể
24/03/2018,83,0.1,9.6,33.5,28.2,23.9,26.5,26.5,23.8,0.3,Mưa không đáng kể
25/03/2018,84,0.0,9.0,34.7,28.4,24.1,28.9,26.7,23.7,0.3,Không mưa
26/03/2018,85,20.7,9.2,33.2,28.2,24.4,18.6,28.6,27.4,0.5,Mưa vừa
27/03/2018,86,0.2,9.0,32.5,27.4,24.1,18.7,28.6,26.2,0.3,Mưa không đáng kể
28/03/2018,87,0.2,7.3,32.8,27.5,24.3,20.2,28.5,26.3,1.3,Mưa không đáng kể
29/03/2018,88,0.3,7.9,32.6,27.3,23.9,20.7,28.1,25.7,0.3,Mưa không đáng kể
30/03/2018,89,0.2,5.4,33.4,28.4,25.2,19.9,30.5,28.5,0.5,Mưa không đáng kể
31/03/2018,90,0.1,1.7,31.5,27.5,24.9,15.9,29.9,28.6,0.3,Mưa không đáng kể
1/4/2018,91,0.2,5.8,32.6,27.5,23.9,18.7,28.5,27.3,0.3,Mưa không đáng kể
2/4/2018,92,5.6,9.4,32.7,27.2,23.4,18.7,28.2,27.3,0.5,Mưa nhỏ
3/4/2018,93,0.3,9.6,33.4,28.0,24.4,21.1,28.0,26.5,0.8,Mưa không đáng kể
4/4/2018,94,0.1,7.5,32.8,27.9,24.7,19.4,28.1,26.1,0.8,Mưa không đáng kể
5/4/2018,95,0.1,9.1,33.5,28.1,23.9,23.5,27.5,24.9,0.3,Mưa không đáng kể
6/4/2018,96,0.1,9.5,34.0,28.4,24.4,24.5,28.4,24.7,0.5,Mưa không đáng kể
7/4/2018,97,0.2,4.0,32.0,27.7,25.3,13.1,29.0,27.6,0.3,Mưa không đáng kể
8/4/2018,98,0.2,1.6,31.5,27.3,22.9,20.1,24.4,21.4,0.8,Mưa không đáng kể
9/4/2018,99,0.3,10.3,34.0,28.8,23.9,26.6,25.2,23.2,0.3,Mưa không đáng kể
10/4/2018,100,0.0,8.8,35.4,29.5,25.9,24.6,28.6,28.1,0.5,Không mưa
11/4/2018,101,0.3,9.3,34.8,29.2,25.1,22.4,30.3,28.8,0.3,Mưa không đáng kể
12/4/2018,102,0.1,9.3,35.0,29.7,25.9,24.3,30.9,28.4,0.3,Mưa không đáng kể
13/04/2018,103,0.0,9.9,35.0,29.4,25.0,24.6,29.7,28.3,0.3,Không mưa
14/04/2018,104,0.1,9.7,35.1,29.8,25.5,27.2,30.5,27.5,0.5,Mưa không đáng kể
15/04/2018,105,0.0,8.5,35.1,29.7,25.6,23.3,30.4,28.1,0.0,Không mưa
16/04/2018,106,0.1,7.7,35.5,30.1,26.9,27.1,30.6,27.3,0.3,Mưa không đáng kể
17/04/2018,107,0.1,6.0,35.6,29.4,25.8,28.0,29.9,26.7,0.3,Mưa không đáng kể
18/04/2018,108,0.2,7.1,34.2,28.6,25.4,18.3,30.1,29.3,1.3,Mưa không đáng kể
19/04/2018,109,0.2,8.6,34.5,28.9,25.4,21.7,29.9,28.0,0.5,Mưa không đáng kể
20/04/2018,110,0.2,9.0,34.2,28.9,24.9,22.3,30.0,28.6,0.3,Mưa không đáng kể
21/04/2018,111,0.0,6.9,33.9,29.2,25.6,20.8,30.1,28.7,0.3,Không mưa
22/04/2018,112,0.2,9.5,35.0,29.9,25.4,27.9,29.5,27.1,0.8,Mưa không đáng kể
23/04/2018,113,0.3,6.3,35.4,29.7,26.4,24.9,31.7,30.7,1.0,Mưa không đáng kể
24/04/2018,114,0.2,4.5,35.1,29.2,26.3,29.0,29.7,26.0,1.0,Mưa không đáng kể
25/04/2018,115,0.1,8.9,36.1,29.4,25.9,30.8,30.4,26.1,0.5,Mưa không đáng kể
26/04/2018,116,0.3,7.4,35.0,29.4,26.1,23.1,30.8,28.2,0.8,Mưa không đáng kể
27/04/2018,117,0.2,9.3,35.6,30.3,26.5,26.4,31.5,28.7,0.8,Mưa không đáng kể
28/04/2018,118,16.3,5.5,34.2,28.9,26.4,12.6,32.9,30.9,0.3,Mưa vừa
29/04/2018,119,27.8,5.3,33.1,27.9,24.8,18.0,32.7,30.6,0.3,Mưa to
30/04/2018,120,17.0,7.4,33.2,27.7,25.5,12.2,33.7,30.9,0.8,Mưa vừa
1/5/2018,121,0.2,7.6,34.4,29.5,26.1,20.6,32.7,31.4,0.3,Mưa không đáng kể
2/5/2018,122,0.4,7.6,33.7,28.9,25.9,17.5,30.8,29.8,1.0,Mưa
3/5/2018,123,3.0,7.6,34.1,29.9,25.8,20.0,31.1,28.7,0.3,Mưa
4/5/2018,124,1.2,2.4,32.0,27.6,25.4,9.6,31.6,29.7,0.8,Mưa
5/5/2018,125,0.9,5.3,32.3,27.6,25.3,8.5,32.1,31.0,0.3,Mưa
6/5/2018,126,0.0,9.8,34.7,29.4,25.9,25.0,31.9,28.2,0.5,Không mưa
7/5/2018,127,0.0,3.1,31.6,28.1,26.4,6.7,33.0,31.6,0.8,Không mưa
8/5/2018,128,0.3,0.3,31.0,27.7,26.6,8.7,32.0,28.2,1.0,Mưa không đáng kể
9/5/2018,129,4.3,3.1,33.2,27.8,25.9,6.7,33.5,30.7,0.0,Mưa nhỏ
10/5/2018,130,0.0,9.3,35.0,29.1,25.6,19.9,32.3,31.6,0.3,Không mưa
11/5/2018,131,0.3,10.2,34.5,29.4,26.1,20.9,29.5,28.5,0.3,Mưa không đáng kể
12/5/2018,132,0.0,9.5,35.0,29.5,26.9,24.6,31.5,28.3,0.5,Không mưa
13/05/2018,133,0.1,9.6,34.5,29.8,26.4,20.2,32.3,31.5,0.3,Mưa không đáng kể
14/05/2018,134,2.7,9.7,35.0,28.8,25.9,20.6,31.8,30.3,0.8,Mưa
15/05/2018,135,0.4,7.8,35.0,29.4,26.4,23.5,32.0,29.4,0.0,Mưa
16/05/2018,136,6.0,8.1,35.2,29.6,26.4,21.4,33.0,31.2,0.3,Mưa nhỏ
17/05/2018,137,0.1,9.0,35.2,29.3,26.4,23.3,31.9,29.9,0.5,Mưa không đáng kể
18/05/2018,138,24.5,7.0,34.9,29.3,26.1,18.5,32.6,31.6,0.8,Mưa vừa
19/05/2018,139,0.2,8.7,34.9,29.9,26.4,20.0,31.9,30.2,0.3,Mưa không đáng kể
20/05/2018,140,0.1,7.7,34.5,28.2,25.8,22.6,30.2,27.9,1.0,Mưa không đáng kể
21/05/2018,141,0.3,5.8,34.6,28.5,26.3,18.4,31.4,29.6,0.5,Mưa không đáng kể
22/05/2018,142,1.5,2.2,33.2,26.9,24.9,12.5,30.8,29.0,1.0,Mưa
23/05/2018,143,0.0,5.2,32.2,27.4,24.7,11.1,29.9,27.6,1.0,Không mưa
24/05/2018,144,46.2,4.8,34.5,27.6,23.6,20.7,30.4,29.6,0.5,Mưa to
25/05/2018,145,0.5,6.7,32.9,28.2,24.5,15.0,31.5,30.8,0.8,Mưa
26/05/2018,146,0.4,4.8,33.7,29.5,26.9,18.4,33.8,32.7,0.3,Mưa
27/05/2018,147,0.1,9.7,34.0,28.1,24.8,18.3,29.8,26.8,1.0,Mưa không đáng kể
28/05/2018,148,2.4,6.9,34.9,28.3,26.1,22.4,30.8,29.7,1.0,Mưa
29/05/2018,149,3.8,5.2,33.5,27.4,26.4,8.9,32.2,29.3,0.5,Mưa nhỏ
30/05/2018,150,46.8,8.5,34.5,27.5,23.9,20.1,30.9,27.9,0.8,Mưa to
31/05/2018,151,19.1,7.8,33.8,28.5,23.9,19.9,32.1,31.8,0.3,Mưa vừa
1/6/2018,152,34.4,5.0,32.3,27.5,25.4,13.3,31.9,30.4,1.3,Mưa to
2/6/2018,153,46.3,1.9,31.2,26.5,23.9,11.1,31.2,29.5,0.3,Mưa to
3/6/2018,154,5.5,0.7,29.4,26.4,24.0,8.1,31.3,30.7,0.0,Mưa nhỏ
4/6/2018,155,0.1,4.4,32.2,27.7,25.8,12.5,30.8,28.6,0.8,Mưa không đáng kể
5/6/2018,156,0.0,8.9,33.5,28.5,24.7,18.9,31.1,30.0,0.8,Không mưa
6/6/2018,157,2.7,6.1,33.5,29.0,25.9,18.3,32.4,31.1,0.8,Mưa
7/6/2018,158,1.9,5.4,33.5,28.2,24.9,13.7,31.4,30.5,1.3,Mưa
8/6/2018,159,3.1,3.8,32.3,27.2,24.1,13.3,30.1,28.8,1.8,Mưa nhỏ
9/6/2018,160,3.6,1.8,31.1,27.1,24.9,12.6,30.8,29.5,1.5,Mưa nhỏ
10/6/2018,161,0.1,4.8,32.5,28.3,25.9,17.2,31.0,29.3,1.3,Mưa không đáng kể
11/6/2018,162,0.2,4.7,31.2,27.2,23.9,12.1,30.7,28.4,1.3,Mưa không đáng kể
12/6/2018,163,0.1,0.6,30.7,27.4,25.9,8.5,31.2,30.8,0.3,Mưa không đáng kể
13/06/2018,164,0.0,3.7,31.6,27.2,25.9,6.5,31.9,30.9,0.3,Không mưa
14/06/2018,165,7.2,3.2,33.7,26.8,25.9,3.3,33.3,30.9,0.3,Mưa nhỏ
15/06/2018,166,6.2,8.2,33.5,28.6,24.9,21.1,30.7,29.5,1.8,Mưa nhỏ
16/06/2018,167,3.0,2.0,29.2,26.8,24.9,6.7,30.3,29.4,1.8,Mưa
17/06/2018,168,8.2,4.3,32.0,27.6,24.9,14.7,30.8,30.4,1.5,Mưa vừa
18/06/2018,169,10.4,1.8,31.3,26.5,24.7,5.0,32.2,30.4,1.8,Mưa vừa
19/06/2018,170,12.1,0.0,29.5,26.3,23.9,2.8,32.1,30.8,0.5,Mưa vừa
20/06/2018,171,1.1,10.2,32.3,27.7,24.9,15.4,31.0,30.5,0.5,Mưa
21/06/2018,172,0.1,9.2,33.3,28.3,25.3,16.9,30.9,30.0,0.8,Mưa không đáng kể
22/06/2018,173,0.1,9.3,33.6,28.6,25.9,18.6,31.2,29.9,0.5,Mưa không đáng kể
23/06/2018,174,0.1,8.8,33.5,28.6,25.7,18.3,31.7,29.5,0.5,Mưa không đáng kể
24/06/2018,175,0.9,7.2,34.0,29.1,26.3,20.3,31.7,30.6,0.5,Mưa
25/06/2018,176,0.0,9.1,33.8,28.3,25.1,19.4,31.6,29.5,0.3,Không mưa
26/06/2018,177,8.1,2.7,31.0,26.1,24.9,8.2,30.6,29.3,0.0,Mưa vừa
27/06/2018,178,0.2,5.7,30.5,26.9,24.4,12.5,30.4,29.0,0.0,Mưa không đáng kể
28/06/2018,179,1.2,8.2,32.1,27.8,24.6,15.5,31.7,30.4,0.3,Mưa
29/06/2018,180,0.2,10.0,34.2,28.8,25.8,21.5,30.8,27.6,0.8,Mưa không đáng kể
30/06/2018,181,0.1,10.1,34.0,29.1,26.1,20.2,31.3,29.3,1.8,Mưa không đáng kể
1/7/2018,182,0.1,10.2,34.2,29.4,25.9,19.1,32.3,30.0,1.3,Mưa không đáng kể
2/7/2018,183,0.7,9.6,31.6,28.0,26.3,13.5,31.4,29.4,1.3,Mưa
3/7/2018,184,1.8,7.8,33.0,27.9,24.9,16.6,31.1,29.9,0.8,Mưa
4/7/2018,185,0.3,9.3,32.5,28.2,24.9,19.6,29.7,27.9,1.0,Mưa không đáng kể
5/7/2018,186,0.9,5.4,32.0,27.4,24.9,13.3,29.8,26.9,1.5,Mưa
6/7/2018,187,1.3,3.0,30.5,27.0,24.2,10.8,30.6,29.0,1.3,Mưa
7/7/2018,188,0.3,3.9,32.2,27.5,24.7,16.8,29.7,28.2,0.8,Mưa không đáng kể
8/7/2018,189,0.2,8.1,33.0,28.3,25.3,20.5,30.3,27.9,1.3,Mưa không đáng kể
9/7/2018,190,0.2,9.3,33.2,29.1,26.4,20.0,31.6,29.7,1.8,Mưa không đáng kể
10/7/2018,191,0.1,7.2,32.5,28.4,26.9,16.6,30.6,29.3,1.0,Mưa không đáng kể
11/7/2018,192,0.3,3.4,30.9,27.7,25.9,15.4,29.1,27.0,2.0,Mưa không đáng kể
12/7/2018,193,0.3,1.9,30.6,27.2,25.6,14.0,30.0,29.2,1.3,Mưa không đáng kể
13/07/2018,194,0.3,1.6,29.2,27.3,25.2,10.0,30.3,29.4,2.0,Mưa không đáng kể
14/07/2018,195,34.6,0.0,29.4,26.8,23.9,7.2,30.9,29.4,1.0,Mưa to
15/07/2018,196,0.1,0.1,30.0,27.2,24.5,5.4,32.2,31.1,0.5,Mưa không đáng kể
16/07/2018,197,3.1,0.9,30.7,27.6,26.3,8.1,31.7,29.9,0.8,Mưa nhỏ
17/07/2018,198,12.5,3.0,30.2,26.7,24.4,8.9,31.1,30.6,0.8,Mưa vừa
18/07/2018,199,24.0,1.4,30.7,25.9,24.4,3.6,31.4,28.9,0.3,Mưa vừa
19/07/2018,200,10.9,3.4,31.7,27.3,24.4,10.5,30.9,28.6,1.5,Mưa vừa
20/07/2018,201,1.6,7.6,31.7,28.1,24.2,14.3,32.1,30.8,0.8,Mưa
21/07/2018,202,0.3,5.7,32.0,28.7,26.4,13.6,32.7,30.8,2.0,Mưa không đáng kể
22/07/2018,203,3.0,6.0,31.4,28.3,26.9,8.4,31.4,29.9,0.8,Mưa
23/07/2018,204,0.1,5.8,32.2,28.6,26.9,14.4,31.9,31.0,1.8,Mưa không đáng kể
24/07/2018,205,0.1,9.8,33.1,29.1,26.6,18.3,31.2,30.5,1.3,Mưa không đáng kể
25/07/2018,206,0.1,8.1,32.0,28.7,26.4,13.8,31.9,30.1,1.3,Mưa không đáng kể
26/07/2018,207,0.2,8.6,33.0,28.8,26.6,16.7,31.2,30.8,1.8,Mưa không đáng kể
27/07/2018,208,0.3,7.4,32.8,29.0,26.4,17.8,32.8,31.4,1.0,Mưa không đáng kể
28/07/2018,209,0.3,6.5,32.6,28.7,26.6,17.7,31.8,30.4,1.3,Mưa không đáng kể
29/07/2018,210,0.3,3.5,32.0,28.5,26.4,16.0,31.2,30.4,1.3,Mưa không đáng kể
30/07/2018,211,0.0,7.5,31.8,28.1,25.9,15.0,31.3,30.6,1.3,Không mưa
31/07/2018,212,0.6,10.0,33.5,28.8,24.9,19.4,30.0,27.8,1.0,Mưa
1/8/2018,213,0.3,9.5,34.0,28.8,26.1,20.3,30.3,28.6,0.8,Mưa không đáng kể
2/8/2018,214,1.8,7.1,33.0,28.7,25.6,18.6,29.0,24.9,2.0,Mưa
3/8/2018,215,0.1,7.6,33.3,28.7,25.4,22.1,29.0,27.1,1.0,Mưa không đáng kể
4/8/2018,216,0.1,7.5,31.9,27.8,26.3,9.5,30.5,28.7,1.8,Mưa không đáng kể
5/8/2018,217,0.2,3.5,33.0,28.1,25.2,16.7,31.4,29.9,1.3,Mưa không đáng kể
6/8/2018,218,16.3,3.5,31.5,25.9,24.2,4.7,30.9,29.3,0.8,Mưa vừa
7/8/2018,219,0.3,3.3,32.3,27.6,24.9,16.3,30.7,30.2,0.3,Mưa không đáng kể
8/8/2018,220,1.4,2.4,30.7,27.5,25.3,12.2,30.6,29.3,0.8,Mưa
9/8/2018,221,9.0,1.8,30.2,26.7,24.4,11.9,28.3,26.1,1.8,Mưa vừa
10/8/2018,222,10.6,2.7,30.8,25.3,24.0,4.6,29.1,27.8,2.0,Mưa vừa
11/8/2018,223,19.8,2.6,31.0,26.8,24.4,13.5,30.6,30.2,0.8,Mưa vừa
12/8/2018,224,0.5,3.1,30.0,26.0,23.9,7.5,29.9,27.8,1.0,Mưa
13/08/2018,225,0.9,0.9,30.0,26.9,24.4,5.4,31.5,30.3,1.3,Mưa
14/08/2018,226,19.2,3.1,31.1,26.1,25.1,6.7,29.4,26.9,0.8,Mưa vừa
15/08/2018,227,1.6,2.2,30.2,27.1,25.1,9.6,32.0,31.3,0.8,Mưa
16/08/2018,228,0.1,6.0,32.1,28.3,26.3,15.0,31.5,30.7,1.8,Mưa không đáng kể
17/08/2018,229,0.2,6.5,32.1,28.8,26.9,13.6,31.1,30.5,1.5,Mưa không đáng kể
18/08/2018,230,102.0,0.7,29.0,26.5,24.1,4.2,32.0,31.2,0.8,Mưa rất to
19/08/2018,231,32.5,1.3,29.9,26.4,23.9,8.4,31.6,30.5,0.0,Mưa to
20/08/2018,232,8.6,1.8,30.0,26.6,23.9,10.2,30.9,30.1,0.3,Mưa vừa
21/08/2018,233,0.3,7.2,31.4,27.9,24.9,11.2,31.5,30.8,1.0,Mưa không đáng kể
22/08/2018,234,0.1,9.7,33.0,29.0,26.7,16.6,32.5,32.1,1.0,Mưa không đáng kể
23/08/2018,235,0.0,4.6,32.1,28.0,25.4,7.4,32.9,32.2,1.0,Không mưa
24/08/2018,236,0.1,5.2,31.6,28.1,25.9,13.5,31.9,30.4,0.8,Mưa không đáng kể
25/08/2018,237,4.5,6.2,31.0,27.8,24.9,14.4,30.6,29.8,0.0,Mưa nhỏ
26/08/2018,238,0.2,4.2,31.6,28.6,26.4,17.0,30.5,28.7,0.5,Mưa không đáng kể
27/08/2018,239,0.2,2.0,30.6,27.9,25.1,14.5,29.9,28.1,0.8,Mưa không đáng kể
28/08/2018,240,5.1,10.0,32.6,28.0,24.0,16.9,30.0,28.3,0.5,Mưa nhỏ
29/08/2018,241,0.3,9.5,33.2,28.8,25.1,17.9,30.8,28.4,1.3,Mưa không đáng kể
30/08/2018,242,0.1,10.1,32.8,29.0,25.9,20.6,30.2,28.3,0.5,Mưa không đáng kể
31/08/2018,243,0.3,10.1,33.3,28.8,25.1,20.1,30.9,29.1,1.3,Mưa không đáng kể
1/9/2018,244,0.1,7.9,33.4,28.9,26.1,18.4,31.2,29.7,1.0,Mưa không đáng kể
2/9/2018,245,0.4,9.3,33.6,29.3,25.6,18.6,32.3,31.2,0.5,Mưa
3/9/2018,246,9.8,1.3,30.1,27.5,24.9,6.7,31.8,29.0,0.5,Mưa vừa
4/9/2018,247,0.0,7.1,31.8,27.5,24.3,15.9,29.6,28.1,0.8,Không mưa
5/9/2018,248,0.1,8.6,32.4,28.5,26.0,17.7,29.4,27.9,0.3,Mưa không đáng kể
6/9/2018,249,10.3,8.6,32.5,27.8,25.4,18.4,30.8,28.6,0.3,Mưa vừa
7/9/2018,250,0.0,8.0,33.2,28.2,26.1,17.1,31.8,31.3,0.0,Không mưa
8/9/2018,251,3.3,6.8,31.5,27.8,25.0,17.5,30.4,28.2,0.8,Mưa nhỏ
9/9/2018,252,0.3,7.0,32.4,27.8,25.3,13.5,30.8,30.4,0.5,Mưa không đáng kể
10/9/2018,253,0.1,8.1,33.3,28.7,25.7,19.6,31.4,29.6,0.3,Mưa không đáng kể
11/9/2018,254,2.8,7.8,33.0,28.8,25.6,19.1,31.8,29.3,0.3,Mưa
12/9/2018,255,0.3,4.8,32.0,28.4,26.3,11.7,31.5,28.2,0.5,Mưa không đáng kể
13/09/2018,256,0.2,5.6,32.2,28.1,25.9,16.8,30.9,29.2,1.0,Mưa không đáng kể
